Anchor_RGB,Color_A_RGB,Color_B_RGB,Preference
"[0.77504504, 0.4078034, 0.121222466]","[0.9853349, 0.29238802, 0.28476164]","[0.5821617, 0.4771552, 0.12518899]",A
"[0.37522817, 0.39337325, 0.34662792]","[0.012217252, 0.410899, 0.48420236]","[0.3529247, 0.27356187, 0.059857827]",B
"[0.5620479, 0.09346499, 0.19523619]","[0.8613821, 0.022190567, 0.058577713]","[0.52335197, 0.16636352, 0.4779135]",A
"[0.3744518, 0.7700083, 0.08354163]","[0.40615124, 0.51448977, 0.13800864]","[0.706851, 0.9923195, 0.74693954]",B
"[0.939703, 0.3592856, 0.63109756]","[0.8383131, 0.22201307, 0.2709431]","[0.8345998, 0.592208, 0.99083555]",B
"[0.939703, 0.3592856, 0.63109756]","[0.8383131, 0.22201307, 0.2709431]","[0.8345998, 0.592208, 0.99083555]",B
"[0.6637201, 0.45609564, 0.8326704]","[0.7230744, 0.14237571, 0.5605018]","[0.45239216, 0.60661554, 0.7268612]",B
"[0.22447363, 0.29511362, 0.17228529]","[0.20091444, 0.4647073, 0.40516034]","[0.3529247, 0.27356187, 0.059857827]",B
"[0.47594848, 0.64918095, 0.9441208]","[0.3259675, 0.82904917, 0.98454684]","[0.2674409, 0.38887063, 0.8660846]",B
"[0.8383131, 0.22201307, 0.2709431]","[0.71789235, 0.3174982, 0.030464945]","[0.7660444, 0.048632458, 0.49536613]",A
"[0.8180658, 0.87433404, 0.24494293]","[0.7709158, 0.77799827, 0.65606016]","[0.049770728, 0.84125245, 0.1656336]",B
"[0.8180658, 0.87433404, 0.24494293]","[0.7709158, 0.77799827, 0.65606016]","[0.049770728, 0.84125245, 0.1656336]",A
"[0.49268627, 0.25465745, 0.54043514]","[0.84483516, 0.30421337, 0.8043976]","[0.083571486, 0.08534164, 0.5133597]",A
"[0.49268627, 0.25465745, 0.54043514]","[0.84483516, 0.30421337, 0.8043976]","[0.083571486, 0.08534164, 0.5133597]",A
"[0.24414685, 0.6740276, 0.34355068]","[0.28456938, 0.44798008, 0.20651251]","[0.33502442, 0.97028893, 0.37012565]",B
"[0.25760406, 0.8773559, 0.7794125]","[0.025970235, 0.91466993, 0.38190478]","[0.16684094, 0.7048901, 0.8074633]",B
"[0.095881954, 0.81108, 0.6997364]","[0.025970235, 0.91466993, 0.38190478]","[0.16684094, 0.7048901, 0.8074633]",B
"[0.095881954, 0.81108, 0.6997364]","[0.025970235, 0.91466993, 0.38190478]","[0.16684094, 0.7048901, 0.8074633]",A
"[0.71789235, 0.3174982, 0.030464945]","[0.8383131, 0.22201307, 0.2709431]","[0.63550496, 0.51124537, 0.27991152]",B
"[0.40615124, 0.51448977, 0.13800864]","[0.3744518, 0.7700083, 0.08354163]","[0.55298585, 0.45305935, 0.31303024]",A
"[0.7840264, 0.11451683, 0.5926805]","[0.3937132, 0.17570026, 0.60814536]","[0.97864306, 0.400417, 0.91476333]",A
"[0.7840264, 0.11451683, 0.5926805]","[0.3937132, 0.17570026, 0.60814536]","[0.97864306, 0.400417, 0.91476333]",A
"[0.4328972, 0.06837749, 0.81270003]","[0.6001895, 0.41804582, 0.7867104]","[0.29168203, 0.08874812, 0.33212656]",A
"[0.5048668, 0.3861145, 0.7238079]","[0.41929713, 0.5726059, 0.78999615]","[0.4474826, 0.31278896, 0.3874557]",B
"[0.7457899, 0.76347697, 0.9554]","[0.3558429, 0.55203146, 0.8376623]","[0.92794424, 0.8171413, 0.7951825]",A
"[0.06885382, 0.3655754, 0.2518382]","[0.30931062, 0.58470637, 0.3094189]","[0.012217252, 0.410899, 0.48420236]",B
"[0.06885382, 0.3655754, 0.2518382]","[0.30931062, 0.58470637, 0.3094189]","[0.012217252, 0.410899, 0.48420236]",B
"[0.31641766, 0.68814754, 0.6165083]","[0.6038494, 0.7667563, 0.44382066]","[0.10537135, 0.6707162, 0.8241245]",A
"[0.99335945, 0.18284702, 0.16110401]","[0.99022156, 0.5058628, 0.5694274]","[0.6147854, 0.13787308, 0.04086545]",B
"[0.99335945, 0.18284702, 0.16110401]","[0.99022156, 0.5058628, 0.5694274]","[0.6147854, 0.13787308, 0.04086545]",A
"[0.28456938, 0.44798008, 0.20651251]","[0.27036676, 0.65949714, 0.017889414]","[0.077427074, 0.22462042, 0.13135195]",A
"[0.0331012, 0.62138337, 0.91194177]","[0.15370744, 0.42983532, 0.99608684]","[0.38765058, 0.79680175, 0.87609065]",A
"[0.65315455, 0.0076844217, 0.36560658]","[0.9159348, 0.21169558, 0.68934673]","[0.32109606, 0.122640185, 0.14515099]",A
"[0.5972866, 0.62641555, 0.063568406]","[0.01891861, 0.55543804, 0.0004385095]","[0.975521, 0.78830826, 0.32357877]",B
"[0.84483516, 0.30421337, 0.8043976]","[0.49268627, 0.25465745, 0.54043514]","[0.6801603, 0.5771969, 0.68264675]",A
"[0.8572536, 0.8854946, 0.45738038]","[0.18143474, 0.98530614, 0.05331567]","[0.95735496, 0.84737056, 0.73339415]",B
